actor_1,actor_2,movie_title,year,genre,director,page_id
שייקה לוי,נאוה שאן הרמן,סיניה (סרט),1962,דרמה,אילן אלדד,1739089
שייקה לוי,הדרה אזולאי,סיניה (סרט),1962,דרמה,אילן אלדד,1739089
שייקה לוי,יצחק ברזילי,סיניה (סרט),1962,דרמה,אילן אלדד,1739089
שייקה לוי,יצחק בנימיני,סיניה (סרט),1962,דרמה,אילן אלדד,1739089
שייקה לוי,סיניה חמדן,סיניה (סרט),1962,דרמה,אילן אלדד,1739089
נאוה שאן הרמן,הדרה אזולאי,סיניה (סרט),1962,דרמה,אילן אלדד,1739089
נאוה שאן הרמן,יצחק ברזילי,סיניה (סרט),1962,דרמה,אילן אלדד,1739089
נאוה שאן הרמן,יצחק בנימיני,סיניה (סרט),1962,דרמה,אילן אלדד,1739089
נאוה שאן הרמן,סיניה חמדן,סיניה (סרט),1962,דרמה,אילן אלדד,1739089
הדרה אזולאי,יצחק ברזילי,סיניה (סרט),1962,דרמה,אילן אלדד,1739089
הדרה אזולאי,יצחק בנימיני,סיניה (סרט),1962,דרמה,אילן אלדד,1739089
הדרה אזולאי,סיניה חמדן,סיניה (סרט),1962,דרמה,אילן אלדד,1739089
יצחק ברזילי,יצחק בנימיני,סיניה (סרט),1962,דרמה,אילן אלדד,1739089
יצחק ברזילי,סיניה חמדן,סיניה (סרט),1962,דרמה,אילן אלדד,1739089
יצחק בנימיני,סיניה חמדן,סיניה (סרט),1962,דרמה,אילן אלדד,1739089
חיים טופול,גילה אלמגור,"אלדורדו (סרט, 1963)",1963,בית משפט,מנחם גולן,934289
חיים טופול,יוסי ידין,"אלדורדו (סרט, 1963)",1963,בית משפט,מנחם גולן,934289
חיים טופול,שייקה אופיר,"אלדורדו (סרט, 1963)",1963,בית משפט,מנחם גולן,934289
חיים טופול,שמעון פינקל,"אלדורדו (סרט, 1963)",1963,בית משפט,מנחם גולן,934289
חיים טופול,תקוה מור,"אלדורדו (סרט, 1963)",1963,בית משפט,מנחם גולן,934289
חיים טופול,אורי לוי,"אלדורדו (סרט, 1963)",1963,בית משפט,מנחם גולן,934289
חיים טופול,מרדכי ארנון,"אלדורדו (סרט, 1963)",1963,בית משפט,מנחם גולן,934289
חיים טופול,עמוס אבני,"אלדורדו (סרט, 1963)",1963,בית משפט,מנחם גולן,934289
חיים טופול,אבנר חזקיהו,"אלדורדו (סרט, 1963)",1963,בית משפט,מנחם גולן,934289
גילה אלמגור,יוסי ידין,"אלדורדו (סרט, 1963)",1963,בית משפט,מנחם גולן,934289
גילה אלמגור,שייקה אופיר,"אלדורדו (סרט, 1963)",1963,בית משפט,מנחם גולן,934289
גילה אלמגור,שמעון פינקל,"אלדורדו (סרט, 1963)",1963,בית משפט,מנחם גולן,934289
גילה אלמגור,תקוה מור,"אלדורדו (סרט, 1963)",1963,בית משפט,מנחם גולן,934289
גילה אלמגור,אורי לוי,"אלדורדו (סרט, 1963)",1963,בית משפט,מנחם גולן,934289
גילה אלמגור,מרדכי ארנון,"אלדורדו (סרט, 1963)",1963,בית משפט,מנחם גולן,934289
גילה אלמגור,עמוס אבני,"אלדורדו (סרט, 1963)",1963,בית משפט,מנחם גולן,934289
גילה אלמגור,אבנר חזקיהו,"אלדורדו (סרט, 1963)",1963,בית משפט,מנחם גולן,934289
יוסי ידין,שייקה אופיר,"אלדורדו (סרט, 1963)",1963,בית משפט,מנחם גולן,934289
יוסי ידין,שמעון פינקל,"אלדורדו (סרט, 1963)",1963,בית משפט,מנחם גולן,934289
