page_id,movie_title,year
295952,היומנים של יוסף נחמני,2005
295958,הכבשה הכחולה,2005
1081976,הלב הרעב,2005
1091680,"ילדים טובים (סרט, 2005)",2005
133148,ימים של אהבה,2005
182609,מוכרחים להיות שמח,2005
295999,מועדון בית הקברות,2005
1767996,"סיפורי התנ""ך עם סבא טוביה",2005
2440664,עד מדינה (סרט),2005
1065203,עור (סרט),2005
2246801,עכשיו או לעולם לא,2005
758290,קרוב לבית (סרט),2005
357393,שאדיה,2005
297744,שושלת שוורץ,2005
215257,תגיד אמן,2005
1082102,תחיה ותהיה,2005
444940,NO אקזיט,2006
231791,אביבה אהובתי,2006
158513,אדמה משוגעת,2006
293636,בובות נייר,2006
323261,בילעין חביבתי,2006
193081,בקרוב יקרה לך משהו טוב,2006
243149,גיבורים קטנים,2006
295937,דמעת שחרזאדה,2006
198701,הבועה,2006
231830,הדברים שמאחורי השמש,2006
1084016,השרשרת של פסיה,2006
1218543,טאץ' ווד,2006
243173,ידיים קשורות,2006
243211,ימים קפואים,2006
274348,כבר לא אחמד,2006
216749,כל אנשי הקמפיין,2006
182585,למראית עין,2006
243194,לרקוד,2006
243227,מחילות,2006
232495,מישהו לרוץ איתו (סרט),2006
243367,מכתבים לאמריקה,2006
243384,"מלח הארץ (סרט, 2006)",2006
641332,נוזהת אל-פואד,2006
1052128,נס (סרט),2006
243391,סינדרום ירושלים (סרט),2006
243393,סיפור חצי רוסי,2006
1768004,סיפורה של מדינה עם סבא טוביה,2006
754990,עושים רוח,2006
1982305,שלום פלוגה א,2006
259334,שלוש אמהות,2006
551957,אבידות ומציאות (סדרת טלוויזיה),2007
243130,אין לה אלוהים,2007
467146,"אמא, לא הרגתי את הבת שלך",2007
1684963,אסקימוסים בגליל,2007
257246,בופור (סרט),2007
413178,ביקור התזמורת,2007
1738614,"החוב (סרט, 2007)",2007
425495,המוסד הסגור,2007
2212560,"המקלט (סרט, 2007)",2007
385368,הסודות,2007
2514220,הרי את (סרט),2007
536716,ואהבת,2007
410296,ויהי חושך ויהי אור,2007
1690986,וסרמיל (סרט),2007
2170470,"חופשת קיץ (סרט, 2007)",2007
1040325,חיי אהבה,2007
243191,ילדי CCCP,2007
801713,ילדי השמש,2007
850568,יפאן יפאן,2007
369184,מדוזות (סרט),2007
395273,מחכים לגודיק,2007
243387,מלך של קבצנים,2007
1925598,מתוק ומר,2007
415038,נודל (סרט),2007
2211420,נימפות בערפל (סרט),2007
1081973,פתח תקווה (סרט),2007
2241392,"רחמים (סרט, 2007)",2007
288513,ריקוד מסוכן,2007
288476,רק כלבים רצים חופשי,2007
1856557,"שחור על לבן (סרט, 2007)",2007
2151946,תהילים (סרט),2007
353079,תנועה מגונה (סרט),2007
826689,$9.99,2008
1663892,אביב 41,2008
554017,איים אבודים (סרט),2008
2247197,אלטלנה (סדרת טלוויזיה),2008
1067804,אמא של ולנטינה,2008
2242321,"אנטארקטיקה (סרט, 2008)",2008
570868,בית אבי (2008),2008
658401,ברוריה (סרט),2008
846432,הבמה החשמלית - אגדת רוקנ'רול,2008
2423007,היא לא תדע (סרט טלוויזיה),2008
1981019,הכל מתחיל בים,2008
1101681,הכתובה (סרט),2008
1482750,המנון (סרט),2008
544262,ואלס עם באשיר,2008
2270450,"חי, דק וצ'פצ'ולה",2008
611737,חייב לזוז,2008
2125151,חסר מנוחה,2008
807041,ירושלים גאה להציג,2008
800113,כוסות רוח לאבא,2008
909704,מדינה זבל,2008
2475503,מוקי בוערה,2008
