Community,Actors,Associated Movies,Associated Movie Share (%),Cross-Community Movies,Top Actors,Dominant Genres,Dominant Directors,Main Activity Period,Average Movie Year,First Movie Year,Last Movie Year
73,1,1,0.11,0,קטרין הימלר,תיעודי (1),חנוך זאבי (1),2010–2019,2011.0,2011,2011
75,1,1,0.11,0,יעל דואני,קומדיה רומנטית (1),דוד שאדי (1),2010–2019,2012.0,2012,2012
76,1,1,0.11,0,טל קלאי,עצמאי (1),עינת פרנבך בן אהרון (1),2010–2019,2013.0,2013,2013
77,1,1,0.11,0,לינדה מנוחין,תיעודי (1),דוקי דרור (1),2010–2019,2013.0,2013,2013
78,1,1,0.11,0,עוזי משולם,תיעודי (1),"אייל בלחסן (1), נועם שיזף (1)",2010–2019,2015.0,2015,2015
79,1,1,0.11,0,רודיינא אבו פריחה,תיעודי (1),רנא אבו פריחה (1),2010–2019,2017.0,2017,2017
80,1,1,0.11,0,דפני ליף,תיעודי (1),דפני ליף (1),2010–2019,2017.0,2017,2017
81,1,1,0.11,0,עמית צוק,תיעודי (1),אופיר טריינין (1),2010–2019,2017.0,2017,2017
82,1,1,0.11,0,ירון לונדון,תיעודי (1),דוד דרעי (1),2010–2019,2017.0,2017,2017
83,1,1,0.11,0,ניצן הורוביץ,תיעודי (1),צבי לנזמן (1),2020–Present,2021.0,2021,2021
84,1,1,0.11,0,מיכה בר-עם,תיעודי (1),רן טל (1),2020–Present,2022.0,2022,2022
85,1,1,0.11,0,נילי בלאק,Not available,"טל קושנר (1), יניב בן אהרון (1)",2020–Present,2025.0,2025,2025
